iter	RMSE
438	2.507651142
439	2.507037007
440	2.502057005
441	2.495097233
442	2.488342779
443	2.483861107
444	2.476662656
445	2.475874104
446	2.468726564
447	2.461744885
448	2.459255487
449	2.456705355
450	2.456048712
451	2.452915991
452	2.450586074
453	2.441599526
454	2.433762707
455	2.429313776
456	2.428479154
457	2.421467445
458	2.415297474
459	2.412866754
460	2.405977261
461	2.405554916
462	2.397500847
463	2.395246401
464	2.39082316
465	2.384063517
466	2.383070163
467	2.381752077
468	2.381058939
469	2.380753116
470	2.373050325
471	2.366769677
472	2.36126946
473	2.355575555
474	2.354639669
475	2.353134023
476	2.352203852
477	2.348118449
478	2.346592276
479	2.345465033
480	2.34137452
481	2.340723827
482	2.338970535
483	2.33834714
484	2.332078318
485	2.32521416
486	2.318641179
487	2.314581196
488	2.312846577
489	2.311403244
490	2.303674733
491	2.303006436
492	2.296742184
493	2.289206021
494	2.284171321
495	2.279094714
496	2.278396722
497	2.273430431
498	2.271604496
499	2.26826693
500	2.266886963
501	2.261630788
502	2.258625477
503	2.25807097
504	2.257602056
505	2.250571171
506	2.249713383
507	2.244911229
508	2.238064133
509	2.235781528
510	2.234065829
511	2.231493569
512	2.224743859
513	2.21773957
514	2.211794333
515	2.207666125
516	2.200794486
517	2.197406864
518	2.19390861
519	2.192124803
520	2.190489471
521	2.18930677
522	2.184083328
523	2.18360695
524	2.180173411
525	2.174356331
526	2.173463083
527	2.172966756
528	2.172507617
529	2.172236146
530	2.170938324
531	2.165395796
532	2.163134335
533	2.162814341
534	2.161730989
535	2.154897169
536	2.148549415
537	2.142287884
538	2.141017283
539	2.140466974
540	2.136187712
541	2.13020576
542	2.129798812
543	2.124071577
544	2.117990506
545	2.110658026
546	2.10419166
547	2.10360173
548	2.102085591
549	2.094923289
550	2.090547422
551	2.089056848
552	2.087949291
553	2.080420555
554	2.076060666
555	2.07464581
556	2.06704492
557	2.06197047
558	2.059646784
559	2.054793289
560	2.049939308
561	2.049387325
562	2.044495444
563	2.038926584
564	2.03481193
565	2.029579712
566	2.026075592
567	2.025891751
568	2.023737461
569	2.019437771
570	2.019103963
571	2.013960791
572	2.011949941
573	2.006165931
574	2.004683413
575	1.999396138
576	1.99802499
577	1.994641345
578	1.993712589
579	1.987911677
580	1.985739579
581	1.979045911
582	1.97284476
583	1.967794786
584	1.963148971
585	1.961115867
586	1.960114377
587	1.955292299
588	1.954175584
589	1.948740637
590	1.947827893
591	1.94671538
592	1.941982128
593	1.938674878
594	1.93851509
595	1.937673782
596	1.935823108
597	1.933453255
598	1.932702224
599	1.932456913
600	1.926160078
601	1.922591276
602	1.922339575
603	1.917573457
604	1.917374073
605	1.914255075
606	1.909008887
607	1.905469505
608	1.898736039
609	1.894991625
610	1.893986574
611	1.893792265
612	1.892969177
613	1.887231873
614	1.886409862
615	1.88527368
616	1.885131072
617	1.880823248
618	1.876733086
619	1.873433579
620	1.868387142
621	1.863353657
622	1.862530101
623	1.861589496
624	1.857479595
625	1.85619771
626	1.851707759
627	1.847878208
628	1.84400167
629	1.843234698
630	1.838874961
631	1.835816017
632	1.832114763
633	1.829568116
634	1.825654595
635	1.824921356
636	1.822307185
637	1.818745469
638	1.816153015
639	1.812328163
640	1.808623096
641	1.807841375
642	1.803679168
643	1.803552766
644	1.802687825
645	1.797955388
646	1.792868408
647	1.787971267
648	1.783404442
649	1.782691233
650	1.781996913
651	1.777919781
652	1.775522103
653	1.774652085
654	1.774046914
655	1.773103747
656	1.77244128
657	1.769973013
658	1.765929581
659	1.763663417
660	1.761494703
661	1.760655404
662	1.756363222
663	1.755738433
664	1.754842607
665	1.750356615
666	1.746629643
667	1.742526623
668	1.739340047
669	1.735305318
670	1.732884922
671	1.729716873
672	1.723008568
673	1.720614851
674	1.716306588
675	1.712047725
676	1.706862129
677	1.703071045
678	1.699073383
679	1.698271158
680	1.697639837
681	1.697530866
682	1.694526737
683	1.691648735
684	1.690803299
685	1.687690797
686	1.684096061
687	1.679852144
688	1.675858675
689	1.673449409
690	1.67138164
691	1.666362178
692	1.663456426
693	1.6620368
694	1.659099947
695	1.654416602
696	1.650823454
697	1.649974545
698	1.649271364
699	1.64693943
700	1.644954765
701	1.640706012
702	1.635596101
703	1.635058104
704	1.633452609
705	1.632777675
706	1.631923086
707	1.628650559
708	1.62602627
709	1.625924472
710	1.622681476
711	1.620257017
712	1.615545879
713	1.615023107
714	1.612835474
715	1.608386816
716	1.606026709
717	1.603791951
718	1.603136617
719	1.600127085
720	1.598335692
721	1.595268708
722	1.592220644
723	1.589127203
724	1.585259315
725	1.585124132
726	1.579928179
727	1.577464358
728	1.575642346
729	1.571471583
730	1.567404409
731	1.561266295
732	1.557761245
733	1.55765235
734	1.554343102
735	1.552551865
736	1.551995533
737	1.548402919
738	1.547794275
739	1.544372225
740	1.543844558
741	1.542528823
742	1.540350746
743	1.53872712
744	1.538590559
745	1.535954019
746	1.533038837
747	1.527617484
748	1.52445586
749	1.520277276
750	1.518579585
751	1.51847254
752	1.517496205
753	1.515581665
754	1.51489321
755	1.514211777
756	1.511342315
757	1.508301069
758	1.505497896
759	1.502801777
760	1.5011716
761	1.499537489
762	1.499432758
763	1.495693716
764	1.493841803
765	1.493430678
766	1.488821685
767	1.486823501
768	1.486664804
769	1.484379358
770	1.481471575
771	1.478648288
772	1.478526434
773	1.477943753
774	1.47314895
775	1.4708278
776	1.470748247
777	1.466586036
778	1.465972039
779	1.465481983
780	1.461499677
781	1.460864263
782	1.459506603
783	1.455627074
784	1.452855821
785	1.449346984
786	1.447716085
787	1.44572775
788	1.442676711
789	1.442551396
790	1.441081492
791	1.440568019
792	1.437167935
793	1.43516215
794	1.433543606
795	1.429632516
796	1.427070719
797	1.424962763
798	1.424540132
799	1.420659366
800	1.420271555
801	1.418638349
802	1.415444227
803	1.413602154
804	1.408651404
805	1.408485684
806	1.404530807
807	1.402163153
808	1.400317428
809	1.397051427
810	1.394040849
811	1.39191809
812	1.390452135
813	1.389899394
814	1.388242971
815	1.386006468
816	1.384385537
817	1.379796992
818	1.376776304
819	1.374967954
820	1.372592423
821	1.36993054
822	1.366349609
823	1.365051269
824	1.363546498
825	1.361229949
826	1.359034304
827	1.357213845
828	1.354380588
829	1.353848622
830	1.350325936
831	1.347456786
832	1.344619114
833	1.342352185
834	1.339509067
835	1.336653202
836	1.332380787
837	1.330269395
838	1.327327609
839	1.326572366
840	1.326182652
841	1.324346964
842	1.323651293
843	1.321610935
844	1.321484257
845	1.316362175
846	1.3145736
847	1.311190643
848	1.310204792
849	1.308771271
850	1.308045691
851	1.304448102
852	1.303008876
853	1.302541644
854	1.301431612
855	1.300136778
856	1.299416142
857	1.298108348
858	1.295639881
859	1.292294779
860	1.292211077
861	1.291838115
862	1.291377179
863	1.289382231
864	1.286100947
865	1.284591274
866	1.283443174
867	1.280554103
868	1.277501179
869	1.277024543
870	1.27481056
871	1.271673346
872	1.269163252
873	1.267222757
874	1.267153983
875	1.265729801
876	1.263867804
877	1.261049772
878	1.25733065
879	1.255085933
880	1.252630465
881	1.250566896
882	1.248630315
883	1.245425225
884	1.242611874
885	1.241408528
886	1.240903377
887	1.240506475
888	1.238686052
889	1.238309466
890	1.236286801
891	1.235052076
892	1.230661205
893	1.229455684
894	1.22521859
895	1.222736143
896	1.222314506
897	1.22064549
898	1.218184449
899	1.216387584
900	1.214819877
901	1.21400756
902	1.211569342
903	1.210076626
904	1.208625397
905	1.204309982
906	1.201300807
907	1.199321545
908	1.197824246
909	1.194329712
910	1.192895522
911	1.190878571
912	1.189637362
913	1.186764034
914	1.186419497
915	1.185580138
916	1.18350296
917	1.180824373
918	1.180404581
919	1.179705043
920	1.177918478
921	1.17359489
922	1.17201018
923	1.171850082
924	1.16958044
925	1.169363796
926	1.167848796
927	1.167780554
928	1.165508739
929	1.164324679
930	1.162369559
931	1.16197947
932	1.160019342
933	1.159406807
934	1.157191535
935	1.157040405
936	1.155570299
937	1.153430682
938	1.151640811
939	1.150368768
940	1.148559648
941	1.148157089
942	1.145261095
943	1.143181444
944	1.140758099
945	1.138734896
946	1.13723583
947	1.135957656
948	1.134537473
949	1.132249237
950	1.129665188
951	1.129244506
952	1.127260378
953	1.125430122
954	1.124571941
955	1.124176989
956	1.122979387
957	1.120338629
958	1.119698741
959	1.119246462
960	1.117316932
961	1.115430433
962	1.113841142
963	1.111828168
964	1.109216187
965	1.108918965
966	1.106864091
967	1.104892452
968	1.103890001
969	1.102262059
970	1.101962554
971	1.100296552
972	1.098568972
973	1.097642733
974	1.096073335
975	1.0933998
976	1.091969688
977	1.090519439
978	1.087113564
979	1.085461146
980	1.083657853
981	1.081930245
982	1.07940512
983	1.076124204
984	1.076005678
985	1.074595739
986	1.071605203
987	1.069682424
988	1.068279072
989	1.067885483
990	1.06622954
991	1.062932433
992	1.062634267
993	1.060660685
994	1.05904582
995	1.05855989
996	1.055341198
997	1.055287975
998	1.052622019
999	1.052509009
